rev-sym,iata-req,onu,Nombre apropiado de envío/Descripción,Clase o Div. (Peligros sec.),Etiqueta(s) de peligro,Grp. De emb.,EQ,APCCL-embalaje,APCCL-neta-máx-bulto,APC-embalaje,APC-neta-máx-bulto,AC-embalaje,AC-neta-máx-bulto,Disp-espec,CRE,ingles
,,2801,"Colorante líquido, corrosivo, n.e.p. ★ †",8,Corrosivo,I,E0,Prohibido,Prohibido,850,0.5 L,854,2.5 L,"A3
A803",8L,"Dye, liquid, corrosive, n.o.s. † ★"
,,2801,"Colorante líquido, corrosivo, n.e.p. ★ †",8,Corrosivo,II,E2,Y840,0.5 L,851,1 L,855,30 L,"A3
A803",8L,"Dye, liquid, corrosive, n.o.s. † ★"
,,2801,"Colorante líquido, corrosivo, n.e.p. ★ †",8,Corrosivo,III,E1,Y841,1 L,852,5 L,856,60 L,"A3
A803",8L,"Dye, liquid, corrosive, n.o.s. † ★"
,,2802,Cloruro de cobre,8,Corrosivo,III,E1,Y845,5 kg,860,25 kg,864,100 kg,A803,8L,Copper chloride
,,2803,Galio †,8,Corrosivo,III,E0,Prohibido,Prohibido,867,20 kg,867,20 kg,"A69
A804",8L,Gallium †
,,2805,Hidruro de litio fundido sólido,4.3,Peligroso mojado,II,E2,Y475,5 kg,483,15 kg,489,50 kg,,4W,"Lithium hydride, fused solid"
,,2806,Nitruro de litio,4.3,Peligroso mojado,I,E0,Prohibido,Prohibido,Prohibido,Prohibido,488,15 kg,,4W,Lithium nitride
,,2807,Materiales magnetizados †,9,Materiales<Break/>magnetizados,,E0,Prohibido,Prohibido,953,Sin límite,953,Sin límite,,9M,Magnetized material †
,,2809,Mercurio,8 (6.1),"Corrosivo
Tóxico",III,E0,Prohibido,Prohibido,868,35 kg,868,35 kg,A804,8P,Mercury
,,2810,"Líquido tóxico, orgánico, n.e.p. ★",6.1,Tóxico,I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4
A137",6L,"Toxic liquid, organic, n.o.s. ★"
,,2810,"Líquido tóxico, orgánico, n.e.p. ★",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4
A137",6L,"Toxic liquid, organic, n.o.s. ★"
,,2810,"Líquido tóxico, orgánico, n.e.p. ★",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4
A137",6L,"Toxic liquid, organic, n.o.s. ★"
,,2811,"Sólido tóxico, orgánico, n.e.p. ★",6.1,Tóxico,I,E5,Prohibido,Prohibido,666,5 kg,673,50 kg,"A3
A5",6L,"Toxic solid, organic, n.o.s. ★"
,,2811,"Sólido tóxico, orgánico, n.e.p. ★",6.1,Tóxico,II,E4,Y644,1 kg,669,25 kg,676,100 kg,"A3
A5",6L,"Toxic solid, organic, n.o.s. ★"
,,2811,"Sólido tóxico, orgánico, n.e.p. ★",6.1,Tóxico,III,E1,Y645,10 kg,670,100 kg,677,200 kg,"A3
A5",6L,"Toxic solid, organic, n.o.s. ★"
,,2812,"Aluminato sódico, sólido",8,Corrosivo,III,E1,Y845,5 kg,860,25 kg,864,100 kg,A803,8L,"Sodium aluminate, solid"
,,2813,"Sólido que reacciona con el agua, n.e.p. ★",4.3,Peligroso mojado,I,E0,Prohibido,Prohibido,Prohibido,Prohibido,488,15 kg,"A3
A803",4W,"Water-reactive solid, n.o.s. ★"
,,2813,"Sólido que reacciona con el agua, n.e.p. ★",4.3,Peligroso mojado,II,E2,Y475,5 kg,484,15 kg,490,50 kg,"A3
A803",4W,"Water-reactive solid, n.o.s. ★"
,,2813,"Sólido que reacciona con el agua, n.e.p. ★",4.3,Peligroso mojado,III,E1,Y477,10 kg,486,25 kg,491,100 kg,"A3
A803",4W,"Water-reactive solid, n.o.s. ★"
,,2814,"Sustancia infecciosa para el ser humano ★
(líquida)",6.2,Infeccioso,,E0,Prohibido,Prohibido,620,50 mL,620,4 L,"A81
A140",11Y,"Infectious substance, affecting humans ★
(liquid)"
,,2814,"Sustancia infecciosa para el ser humano ★
(sólida)",6.2,Infeccioso,,E0,Prohibido,Prohibido,620,50 g,620,4 kg,"A81
A140",11Y,"Infectious substance, affecting humans ★
(solid)"
,,2815,N-Aminoetilpiperazina,8 (6.1),"Corrosivo
Tóxico",III,E1,Y841,1 L,852,5 L,856,60 L,A803,8P,N-Aminoethylpiperazine
,,2817,Hidrógenodifluoruro amónico en solución,8 (6.1),"Corrosivo
Tóxico",II,E2,Y840,0.5 L,851,1 L,855,30 L,"A3
A803",8P,Ammonium hydrogendifluoride solution
,,2817,Hidrógenodifluoruro amónico en solución,8 (6.1),"Corrosivo
Tóxico",III,E1,Y841,1 L,852,5 L,856,60 L,"A3
A803",8P,Ammonium hydrogendifluoride solution
,,2818,Polisulfuro de amonio en solución,8 (6.1),"Corrosivo
Tóxico",II,E2,Y840,0.5 L,851,1 L,855,30 L,"A3
A803",8P,Ammonium polysulphide solution
,,2818,Polisulfuro de amonio en solución,8 (6.1),"Corrosivo
Tóxico",III,E1,Y841,1 L,852,5 L,856,60 L,"A3
A803",8P,Ammonium polysulphide solution
,,2819,Fosfato ácido de amilo,8,Corrosivo,III,E1,Y841,1 L,852,5 L,856,60 L,A803,8L,Amyl acid phosphate
,,2820,Ácido butírico,8,Corrosivo,III,E1,Y841,1 L,852,5 L,856,60 L,A803,8L,Butyric acid
,,2821,Fenol en solución,6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,A3,6L,Phenol solution
,,2821,Fenol en solución,6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,A3,6L,Phenol solution
,,2822,2-Cloropiridina,6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,,6L,2-Chloropyridine
,,2823,"Ácido crotónico, sólido",8,Corrosivo,III,E1,Y845,5 kg,860,25 kg,864,100 kg,A803,8L,"Crotonic acid, solid"
,,2826,Clorotioformiato de etilo,8 (3),,II,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,8F,Ethyl chlorothioformate
,,2829,Ácido caproico,8,Corrosivo,III,E1,Y841,1 L,852,5 L,856,60 L,A803,8L,Caproic acid
,,2830,Litioferrosilicio,4.3,Peligroso mojado,II,E2,Y475,5 kg,484,15 kg,490,50 kg,,4W,Lithium ferrosilicon
,,2831,"1,1,1-Tricloroetano",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,,6L,"1,1,1-Trichloroethane"
,,2834,Ácido fosforoso,8,Corrosivo,III,E1,Y845,5 kg,860,25 kg,864,100 kg,A803,8L,Phosphorous acid
,,2835,Hidruro sódico alumínico,4.3,Peligroso mojado,II,E0,Prohibido,Prohibido,Prohibido,Prohibido,489,50 kg,A1,4W,Sodium aluminium hydride
,,2837,Bisulfatos en solución acuosa,8,Corrosivo,II,E2,Y840,0.5 L,851,1 L,855,30 L,"A3
A803",8L,"Bisulphates, aqueous solution"
,,2837,Bisulfatos en solución acuosa,8,Corrosivo,III,E1,Y841,1 L,852,5 L,856,60 L,"A3
A803",8L,"Bisulphates, aqueous solution"
,,2838,"Butirato de vinilo, estabilizado",3,Líquido inflamable,II,E2,Y341,1 L,353,5 L,364,60 L,A209,3L,"Vinyl butyrate, stabilized"
,,2839,Aldol,6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,,6L,Aldol
,,2840,Butiraldoxima,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,Butyraldoxime
,,2841,Di-n-amilamina,3 (6.1),"Líquido inflamable
Tóxico",III,E1,Y343,2 L,355,60 L,366,220 L,,3P,Di-n-amylamine
,,2842,Nitroetano,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,Nitroethane
,,2844,Calciomanganesosilicio,4.3,Peligroso mojado,III,E1,Y477,10 kg,486,25 kg,491,100 kg,A803,4W,Calcium manganese silicon
,,2845,"Líquido pirofórico, orgánico, n.e.p. ★ †",4.2,,I,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,4W,"Pyrophoric liquid, organic, n.o.s. † ★"
,,2846,"Sólido pirofórico orgánico, n.e.p. ★ †",4.2,,I,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,4L,"Pyrophoric solid, organic, n.o.s. † ★"
,,2849,3-Cloropropanol-1,6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,,6L,3-Chloropropanol-1
,,2850,Tetrámero del propileno,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,Propylene tetramer
,,2851,"Trifluoruro de boro, dihidratado",8,Corrosivo,II,E2,Y840,0.5 L,851,1 L,855,30 L,,8L,Boron trifluoride dihydrate
,,2852,"Sulfuro de dipicrilo, humidificado
con 10% ó más en peso, de agua",4.1,Sólido inflamable,I,E0,Prohibido,Prohibido,Prohibido,Prohibido,451,0.5 kg,A40,3E,"Dipicryl sulphide, wetted
with 10% or more water, by weight"
,,2853,Fluorosilicato magnésico,6.1,Tóxico,III,E1,Y645,10 kg,670,100 kg,677,200 kg,,6L,Magnesium fluorosilicate
,,2854,Fluorosilicato amónico,6.1,Tóxico,III,E1,Y645,10 kg,670,100 kg,677,200 kg,,6L,Ammonium fluorosilicate
,,2855,Fluorosilicato de cinc,6.1,Tóxico,III,E1,Y645,10 kg,670,100 kg,677,200 kg,,6L,Zinc fluorosilicate
,,2856,"Fluorosilicatos, n.e.p. ★",6.1,Tóxico,III,E1,Y645,10 kg,670,100 kg,677,200 kg,,6L,"Fluorosilicates, n.o.s. ★"
,,2857,"Máquinas refrigeradores
que contienen gas no inflamable, no tóxico, gas licuado o amoniaco en solución (ONU 2672)",2.2,Gas no inflamable,,E0,Prohibido,Prohibido,Ver 211,Ver 211,Ver 211,Ver 211,A26,2L,"Refrigerating machines
containing non-flammable, non-toxic, liquefied gas or ammonia solutions (UN 2672)"
,,2858,"Circonio seco
en forma de alambre enrollado, de láminas metálicas acabadas o de tiras (de un grosor inferior a 254 micrones pero no inferior a 18 micrones)",4.1,Sólido inflamable,III,E1,Y443,10 kg,446,25 kg,449,100 kg,A803,3L,"Zirconium, dry
coiled wire, finished metal sheets, strip (thinner than 254 microns but not thinner than 18 microns)"
,,2859,Metavanadato amónico,6.1,Tóxico,II,E4,Y644,1 kg,669,25 kg,676,100 kg,,6L,Ammonium metavanadate
,,2861,Polivanadato amónico,6.1,Tóxico,II,E4,Y644,1 kg,669,25 kg,676,100 kg,,6L,Ammonium polyvanadate
,,2862,"Pentóxido de vanadio
no fundido",6.1,Tóxico,III,E1,Y645,10 kg,670,100 kg,677,200 kg,,6L,"Vanadium pentoxide
non-fused form"
,,2863,Vanadato de sodio y amonio,6.1,Tóxico,II,E4,Y644,1 kg,669,25 kg,676,100 kg,,6L,Sodium ammonium vanadate
,,2864,Metavanadato potásico,6.1,Tóxico,II,E4,Y644,1 kg,669,25 kg,676,100 kg,,6L,Potassium metavanadate
,,2865,Sulfato de hidroxilamina,8,Corrosivo,III,E1,Y845,5 kg,860,25 kg,864,100 kg,A803,8L,Hydroxylamine sulphate
,,2869,Mezcla de tricloruro de titanio,8,Corrosivo,II,E2,Y844,5 kg,859,15 kg,863,50 kg,"A3
A803",8L,Titanium trichloride mixture
,,2869,Mezcla de tricloruro de titanio,8,Corrosivo,III,E1,Y845,5 kg,860,25 kg,864,100 kg,"A3
A803",8L,Titanium trichloride mixture
,,2870,Borohidruro de aluminio,4.2 (4.3),,I,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,4W,Aluminium borohydride
,,2870,Borohidruro de aluminio en dispositivos,4.2 (4.3),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,4W,Aluminium borohydride in devices
,,2871,Antimonio en polvo,6.1,Tóxico,III,E1,Y645,10 kg,670,100 kg,677,200 kg,,6L,Antimony powder
,,2872,Dibromocloropropanos,6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,A3,6L,Dibromochloropropanes
,,2872,Dibromocloropropanos,6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,A3,6L,Dibromochloropropanes
,,2873,Dibutilaminoetanol,6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,,6L,Dibutylaminoethanol
,,2874,Alcohol furfurílico,6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,,6L,Furfuryl alcohol
,,2875,Hexaclorofeno,6.1,Tóxico,III,E1,Y645,10 kg,670,100 kg,677,200 kg,,6L,Hexachlorophene
,,2876,Resorcinol,6.1,Tóxico,III,E1,Y645,10 kg,670,100 kg,677,200 kg,,6L,Resorcinol
,,2878,"Titanio, esponja de, en gránulos",4.1,Sólido inflamable,III,E1,Y443,10 kg,446,25 kg,449,100 kg,"A3
A803",3L,Titanium sponge granules
,,2878,"Titanio, esponja de, en polvo",4.1,Sólido inflamable,III,E1,Y443,10 kg,446,25 kg,449,100 kg,"A3
A803",3L,Titanium sponge powders
,,2879,Oxicloruro de selenio,8 (6.1),"Corrosivo
Tóxico",I,E0,Prohibido,Prohibido,850,0.5 L,854,2.5 L,,8P,Selenium oxychloride
,,2880,"Hipoclorito cálcico en mezcla, hidratada
con ≥ 5,5%, pero ≤ 16% de agua",5.1,Comburente,II,E2,Y544,2.5 kg,558,5 kg,562,25 kg,"A3
A8
A136
A803",5L,"Calcium hypochlorite, hydrated mixture
with ≥ 5.5% but ≤ 16% water"
,,2880,"Hipoclorito cálcico en mezcla, hidratada
con ≥ 5,5%, pero ≤ 16% de agua",5.1,Comburente,III,E1,Y546,10 kg,559,25 kg,563,100 kg,"A3
A8
A136
A803",5L,"Calcium hypochlorite, hydrated mixture
with ≥ 5.5% but ≤ 16% water"
,,2880,"Hipoclorito cálcico, hidratado
con ≥ 5,5%, pero ≤ 16% de agua",5.1,Comburente,II,E2,Y544,2.5 kg,558,5 kg,562,25 kg,"A3
A8
A136
A803",5L,"Calcium hypochlorite, hydrated
with ≥ 5.5% but ≤ 16% water"
,,2880,"Hipoclorito cálcico, hidratado
con ≥ 5,5%, pero ≤ 16% de agua",5.1,Comburente,III,E1,Y546,10 kg,559,25 kg,563,100 kg,"A3
A8
A136
A803",5L,"Calcium hypochlorite, hydrated
with ≥ 5.5% but ≤ 16% water"
,,2881,Catalizador de metal seco ★,4.2,Combustión<Break/>espontánea,I,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,"A1
A3
A36",4L,"Metal catalyst, dry ★"
,,2881,Catalizador de metal seco ★,4.2,Combustión<Break/>espontánea,II,E0,Prohibido,Prohibido,Prohibido,Prohibido,473,50 kg,"A1
A3
A36",4L,"Metal catalyst, dry ★"
,,2881,Catalizador de metal seco ★,4.2,Combustión<Break/>espontánea,III,E1,Prohibido,Prohibido,473,25 kg,473,100 kg,"A1
A3
A36",4L,"Metal catalyst, dry ★"
,,2900,"Sustancia infecciosa para los animales ★
únicamente (líquida)",6.2,Infeccioso,,E0,Prohibido,Prohibido,620,50 mL,620,4 L,"A81
A140",11Y,"Infectious substance, affecting animals ★
only (liquid)"
,,2900,"Sustancia infecciosa para los animales ★
únicamente (sólida)",6.2,Infeccioso,,E0,Prohibido,Prohibido,620,50 g,620,4 kg,"A81
A140",11Y,"Infectious substance, affecting animals ★
only (solid)"
,,2901,Cloruro de bromo,"2.3 (5.1, 8)",,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,2PX,Bromine chloride
,,2902,"Plaguicida líquido, tóxico, n.e.p. ★",6.1,Tóxico,I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6L,"Pesticide, liquid, toxic, n.o.s. ★"
,,2902,"Plaguicida líquido, tóxico, n.e.p. ★",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6L,"Pesticide, liquid, toxic, n.o.s. ★"
,,2902,"Plaguicida líquido, tóxico, n.e.p. ★",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6L,"Pesticide, liquid, toxic, n.o.s. ★"
,,2903,"Plaguicida líquido, tóxico, inflamable, n.e.p. ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A3
A4",6F,"Pesticide, liquid, toxic, flammable, n.o.s. ★
flash point 23°C or more"
,,2903,"Plaguicida líquido, tóxico, inflamable, n.e.p. ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",II,E4,Y641,1 L,654,5 L,662,60 L,"A3
A4",6F,"Pesticide, liquid, toxic, flammable, n.o.s. ★
flash point 23°C or more"
,,2903,"Plaguicida líquido, tóxico, inflamable, n.e.p. ★
de punto de inflamación de 23°C ó más",6.1 (3),"Tóxico
Líquido inflamable",III,E1,Y642,2 L,655,60 L,663,220 L,"A3
A4",6F,"Pesticide, liquid, toxic, flammable, n.o.s. ★
flash point 23°C or more"
,,2904,"Clorofenolatos, líquidos",8,Corrosivo,III,E1,Y841,1 L,852,5 L,856,60 L,A803,8L,"Chlorophenolates, liquid"
,,2904,"Fenolatos, líquidos",8,Corrosivo,III,E1,Y841,1 L,852,5 L,856,60 L,A803,8L,"Phenolates, liquid"
,,2905,"Clorofenolatos, sólidos",8,Corrosivo,III,E1,Y845,5 kg,860,25 kg,864,100 kg,A803,8L,"Chlorophenolates, solid"
,,2905,"Fenolatos, sólidos",8,Corrosivo,III,E1,Y845,5 kg,860,25 kg,864,100 kg,A803,8L,"Phenolates, solid"
,,2907,"Mezcla de dinitrato de isosorbida † 
con el 60% o más de lactosa, manosa, almidón o fosfato ácido de calcio",4.1,Sólido inflamable,II,E0,Prohibido,Prohibido,445,15 kg,448,50 kg,"A40
A49",3L,"Isosorbide dinitrate mixture † 
with 60% or more lactose, mannose, starch or calcium hydrogen phosphate"
,,2908,"Material radiactivo, bultos exceptuados — embalajes vacíos",7,,,,Prohibido,Prohibido,Ver 10.3,Ver 10.3,Ver 10.3,Ver 10.3,A130,7L,"Radioactive material, excepted package — empty packaging"
,,2909,"Material radiactivo, bultos exceptuados — artículos manufacturados de torio natural",7,,,,Prohibido,Prohibido,Ver 10.3,Ver 10.3,Ver 10.3,Ver 10.3,A130,7L,"Radioactive material, excepted package — articles manufactured from natural thorium"
,,2909,"Material radiactivo, bultos exceptuados — artículos manufacturados de uranio empobrecido",7,,,,Prohibido,Prohibido,Ver 10.3,Ver 10.3,Ver 10.3,Ver 10.3,A130,7L,"Radioactive material, excepted package — articles manufactured from depleted uranium"
,,2909,"Material radiactivo, bultos exceptuados — artículos manufacturados de uranio natural",7,,,,Prohibido,Prohibido,Ver 10.3,Ver 10.3,Ver 10.3,Ver 10.3,A130,7L,"Radioactive material, excepted package — articles manufactured from natural uranium"
,,2910,"Material radiactivo, bultos exceptuados — cantidades limitadas de material",7,,,,Prohibido,Prohibido,Ver 10.3,Ver 10.3,Ver 10.3,Ver 10.3,"A130
A193",7L,"Radioactive material, excepted package — limited quantity of material"
,,2911,"Material radiactivo, bultos exceptuados — artículos",7,,,,Prohibido,Prohibido,Ver 10.3,Ver 10.3,Ver 10.3,Ver 10.3,A130,7L,"Radioactive material, excepted package — articles"
,,2911,"Material radiactivo, bultos exceptuados — instrumentos",7,,,,Prohibido,Prohibido,Ver 10.3,Ver 10.3,Ver 10.3,Ver 10.3,A130,7L,"Radioactive material, excepted package — instruments"
,,2912,"Material radiactivo, baja actividad específica (BAE-I)
no fisionable o fisionable exceptuado",7,Radiactivo,,,Prohibido,Prohibido,Ver 10.3,Ver 10.3,Ver 10.3,Ver 10.3,"A23
A78
A139",7L,"Radioactive material, low specific activity (LSA-I)
non-fissile or fissile excepted"
,,2913,"Material radiactivo, objetos contaminados en la superficie (OCS-I)
no fisionable o fisionable exceptuado",7,Radiactivo,,,Prohibido,Prohibido,Ver 10.3,Ver 10.3,Ver 10.3,Ver 10.3,"A78
A139
A159",7L,"Radioactive material, surface contaminated objects (SCO-I)
non-fissile or fissile excepted"
,,2913,"Material radiactivo, objetos contaminados en la superficie (OCS-II)
no fisionable o fisionable exceptuado",7,Radiactivo,,,Prohibido,Prohibido,Ver 10.3,Ver 10.3,Ver 10.3,Ver 10.3,"A78
A139
A159",7L,"Radioactive material, surface contaminated objects (SCO-II)
non-fissile or fissile excepted"
,,2913,"Material radiactivo, objetos contaminados en la superficie (SCO-III)
no fisionable o fisionable exceptuado",7,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,7L,"Radioactive material, surface contaminated objects (SCO-III)
non-fissile or fissile excepted"
,,2915,"Material radiactivo, bultos del Tipo A
no en forma especial, no fisionable o fisionable exceptuado",7,Radiactivo,,,Prohibido,Prohibido,Ver 10.3,Ver 10.3,Ver 10.3,Ver 10.3,"A23
A78
A139",7L,"Radioactive material, Type A package
non-special form, non-fissile or fissile excepted"
,,2916,"Material radiactivo, bultos del Tipo B(U)
no fisionable o fisionable exceptuado",7,Radiactivo,,,Prohibido,Prohibido,Ver 10.3,Ver 10.3,Ver 10.3,Ver 10.3,"A23
A78
A139
A160",7L,"Radioactive material, Type B(U) package
non-fissile or fissile excepted"
,,2917,"Material radiactivo, bultos del Tipo B(M)
no fisionable o fisionable exceptuado",7,Radiactivo,,,Prohibido,Prohibido,Prohibido,Prohibido,Ver 10.3,Ver 10.3,"A23
A78
A139
A160",7L,"Radioactive material, Type B(M) package
non-fissile or fissile excepted"
,,2919,"Material radiactivo, transportado en virtud de arreglos especiales
no fisionable o fisionable exceptuado",7,Radiactivo,,,Prohibido,Prohibido,Ver 10.3,Ver 10.3,Ver 10.3,Ver 10.3,"A23
A78
A139",7L,"Radioactive material, transported under special arrangement
non-fissile or fissile excepted"
,,2920,"Líquido corrosivo, inflamable, n.e.p. ★",8 (3),"Corrosivo
Líquido inflamable",I,E0,Prohibido,Prohibido,850,0.5 L,854,2.5 L,,8F,"Corrosive liquid, flammable, n.o.s. ★"
,,2920,"Líquido corrosivo, inflamable, n.e.p. ★",8 (3),"Corrosivo
Líquido inflamable",II,E2,Y840,0.5 L,851,1 L,855,30 L,,8F,"Corrosive liquid, flammable, n.o.s. ★"
,,2921,"Sólido corrosivo, inflamable, n.e.p. ★",8 (4.1),"Corrosivo
Sólido inflamable",I,E0,Prohibido,Prohibido,858,1 kg,862,25 kg,,8S,"Corrosive solid, flammable, n.o.s. ★"
,,2921,"Sólido corrosivo, inflamable, n.e.p. ★",8 (4.1),"Corrosivo
Sólido inflamable",II,E2,Y844,5 kg,859,15 kg,863,50 kg,,8S,"Corrosive solid, flammable, n.o.s. ★"
,,2922,"Líquido corrosivo, tóxico, n.e.p. ★",8 (6.1),"Corrosivo
Tóxico",I,E0,Prohibido,Prohibido,850,0.5 L,854,2.5 L,"A3
A4
A803",8P,"Corrosive liquid, toxic, n.o.s. ★"
,,2922,"Líquido corrosivo, tóxico, n.e.p. ★",8 (6.1),"Corrosivo
Tóxico",II,E2,Y840,0.5 L,851,1 L,855,30 L,"A3
A4
A803",8P,"Corrosive liquid, toxic, n.o.s. ★"
,,2922,"Líquido corrosivo, tóxico, n.e.p. ★",8 (6.1),"Corrosivo
Tóxico",III,E1,Y841,1 L,852,5 L,856,60 L,"A3
A4
A803",8P,"Corrosive liquid, toxic, n.o.s. ★"
,,2923,"Sólido corrosivo, tóxico, n.e.p. ★",8 (6.1),"Corrosivo
Tóxico",I,E0,Prohibido,Prohibido,858,1 kg,862,25 kg,"A3
A5
A803",8P,"Corrosive solid, toxic, n.o.s. ★"
,,2923,"Sólido corrosivo, tóxico, n.e.p. ★",8 (6.1),"Corrosivo
Tóxico",II,E2,Y844,5 kg,859,15 kg,863,50 kg,"A3
A5
A803",8P,"Corrosive solid, toxic, n.o.s. ★"
,,2923,"Sólido corrosivo, tóxico, n.e.p. ★",8 (6.1),"Corrosivo
Tóxico",III,E1,Y845,5 kg,860,25 kg,864,100 kg,"A3
A5
A803",8P,"Corrosive solid, toxic, n.o.s. ★"
,,2924,"Líquido inflamable, corrosivo, n.e.p. ★",3 (8),"Líquido inflamable
Corrosivo",I,E0,Prohibido,Prohibido,350,0.5 L,360,2.5 L,"A3
A803",3CH,"Flammable liquid, corrosive, n.o.s. ★"
,,2924,"Líquido inflamable, corrosivo, n.e.p. ★",3 (8),"Líquido inflamable
Corrosivo",II,E2,Y340,0.5 L,352,1 L,363,5 L,"A3
A803",3CH,"Flammable liquid, corrosive, n.o.s. ★"
,,2924,"Líquido inflamable, corrosivo, n.e.p. ★",3 (8),"Líquido inflamable
Corrosivo",III,E1,Y342,1 L,354,5 L,365,60 L,"A3
A803",3C,"Flammable liquid, corrosive, n.o.s. ★"
,,2925,"Sólido inflamable corrosivo orgánico, n.e.p. ★",4.1 (8),"Sólido inflamable
Corrosivo",II,E2,Y441,5 kg,445,15 kg,448,50 kg,"A3
A803",3C,"Flammable solid, corrosive, organic, n.o.s. ★"
,,2925,"Sólido inflamable corrosivo orgánico, n.e.p. ★",4.1 (8),"Sólido inflamable
Corrosivo",III,E1,Y442,5 kg,446,25 kg,449,100 kg,"A3
A803",3C,"Flammable solid, corrosive, organic, n.o.s. ★"
,,2926,"Sólido inflamable, tóxico, orgánico, n.e.p. ★",4.1 (6.1),"Sólido inflamable
Tóxico",II,E2,Y440,1 kg,445,15 kg,448,50 kg,"A3
A803",3P,"Flammable solid, toxic, organic, n.o.s. ★"
,,2926,"Sólido inflamable, tóxico, orgánico, n.e.p. ★",4.1 (6.1),"Sólido inflamable
Tóxico",III,E1,Y443,10 kg,446,25 kg,449,100 kg,"A3
A803",3P,"Flammable solid, toxic, organic, n.o.s. ★"
,,2927,"Líquido tóxico, corrosivo, orgánico, n.e.p. ★",6.1 (8),"Tóxico
Corrosivo",I,E5,Prohibido,Prohibido,651,0.5 L,657,2.5 L,"A4
A137",6C,"Toxic liquid, corrosive, organic, n.o.s. ★"
,,2927,"Líquido tóxico, corrosivo, orgánico, n.e.p. ★",6.1 (8),"Tóxico
Corrosivo",II,E4,Y640,0.5 L,653,1 L,660,30 L,"A4
A137",6C,"Toxic liquid, corrosive, organic, n.o.s. ★"
,,2928,"Sólido tóxico corrosivo, orgánico, n.e.p. ★",6.1 (8),"Tóxico
Corrosivo",I,E5,Prohibido,Prohibido,665,1 kg,672,15 kg,A5,6C,"Toxic solid, corrosive, organic, n.o.s. ★"
,,2928,"Sólido tóxico corrosivo, orgánico, n.e.p. ★",6.1 (8),"Tóxico
Corrosivo",II,E4,Y644,1 kg,668,15 kg,675,50 kg,A5,6C,"Toxic solid, corrosive, organic, n.o.s. ★"
,,2929,"Líquido tóxico, inflamable, orgánico, n.e.p. ★",6.1 (3),"Tóxico
Líquido inflamable",I,E5,Prohibido,Prohibido,652,1 L,658,30 L,"A4
A137",6F,"Toxic liquid, flammable, organic, n.o.s. ★"
,,2929,"Líquido tóxico, inflamable, orgánico, n.e.p. ★",6.1 (3),"Tóxico
Líquido inflamable",II,E4,Y641,1 L,654,5 L,662,60 L,"A4
A137",6F,"Toxic liquid, flammable, organic, n.o.s. ★"
,,2930,"Sólido tóxico inflamable, orgánico, n.e.p. ★",6.1 (4.1),"Tóxico
Sólido inflamable",I,E5,Prohibido,Prohibido,665,1 kg,672,15 kg,A5,6F,"Toxic solid, flammable, organic, n.o.s. ★"
,,2930,"Sólido tóxico inflamable, orgánico, n.e.p. ★",6.1 (4.1),"Tóxico
Sólido inflamable",II,E4,Y644,1 kg,668,15 kg,675,50 kg,A5,6F,"Toxic solid, flammable, organic, n.o.s. ★"
,,2931,Sulfato de vanadilo,6.1,Tóxico,II,E4,Y644,1 kg,669,25 kg,676,100 kg,,6L,Vanadyl sulphate
